Full Name,Nickname,SCAC,BOL Prefix,Support,Notes
American President Lines,APL,APLU,APLU,Yes,
Australia National Line,ANL,ANNU,ANLC,Yes,
China Ocean Shipping Company,COSCO,COSU,CCMJ,Yes,
CMA CGM,CMA CGM,CMDU,CMDU,Yes,
Evergreen,Evergreen,EGLV,EISU,Yes,
Hamburg Sud,Hamburg Sud,SUDU,SUDU,Yes,
Hapag-Lloyd,Hapag-Lloyd,HLCU,HLCU,Yes,
Hyundai Merchant Marine,Hyundai,HDMU,HDMU,Partial,No container numbers
Maersk,Maersk,MAEU,MAEU,Yes,
Matson Navigation Company,Matson,MATS,MATS,Yes,
Mediterranean Shipping Company,MSC,MSCU,MEDU,Yes,
Ocean Network Express,ONE,ONEY,ONEY,Yes,
Orient Overseas Container Line,OOCL,OOLU,OOLU,Yes,
Pacific International Lines,PIL,PCIU,PABV,Yes,
Safmarine Container Line,Safmarine,SAFM,SAFM,Yes,
SeaLand,SeaLand,SEAL,SEAU,Yes,
Yangming Marine Transport,Yangming,YMLU,YMLU,Yes,
Wan Hai Lines,Wan Hai,WHLC,,On roadmap,June Release
Matson,Matson,MATS,,On roadmap,June Release
Zim,Zim,ZIMU,,On roadmap,June Release
Seaboard Marine,Seaboard,CLAM,,On roadmap,June Release
Crowley,Crowley,CLAM,,On roadmap,June Release
